#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R4.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
2021/11/17 13:59:39,890000,0.499,0.111,0.512,0.000,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,900000,0.503,0.122,0.503,0.000,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,910000,0.500,0.136,0.510,0.000,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,920000,0.496,0.134,0.510,0.000,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,930000,0.510,0.113,0.508,0.000,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,940000,0.507,0.122,0.501,0.003,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,950000,0.503,0.113,0.505,0.007,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,960000,0.500,0.120,0.508,0.007,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,970000,0.503,0.120,0.507,0.000,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,980000,0.504,0.125,0.513,0.003,166.50,253.70,299.00,0.004
2021/11/17 13:59:39,990000,0.503,0.127,0.504,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,000000,0.505,0.119,0.507,0.007,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,010000,0.503,0.130,0.505,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,020000,0.500,0.130,0.505,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,030000,0.503,0.120,0.506,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,040000,0.503,0.120,0.512,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,050000,0.505,0.117,0.503,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,060000,0.513,0.117,0.508,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,070000,0.513,0.112,0.504,-0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,080000,0.500,0.116,0.508,-0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,090000,0.502,0.124,0.502,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,100000,0.501,0.127,0.503,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,110000,0.503,0.116,0.500,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,120000,0.504,0.120,0.507,-0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,130000,0.505,0.115,0.511,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,140000,0.503,0.120,0.509,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,150000,0.501,0.117,0.507,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,160000,0.508,0.121,0.502,0.007,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,170000,0.502,0.121,0.507,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,180000,0.509,0.115,0.503,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,190000,0.500,0.115,0.512,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,200000,0.508,0.118,0.504,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,210000,0.500,0.120,0.505,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,220000,0.504,0.129,0.500,-0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,230000,0.508,0.117,0.515,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,240000,0.509,0.116,0.505,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,250000,0.503,0.117,0.512,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,260000,0.500,0.115,0.506,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,270000,0.507,0.126,0.504,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,280000,0.500,0.122,0.503,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,290000,0.502,0.115,0.515,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,300000,0.501,0.121,0.510,-0.003,166.50,253.75,299.00,0.004
